ID,Code DTC,Description du problème,Root Cause Description,Composant concerné,PCA attendue,Statut GIM
491,P1000,Rearview camera blurry,Battery internal resistance too high causing voltage imbalance,Camera Systems,Update ECU software and reset hybrid system,Non résolu
492,P0650,Heated seats not working,Communication loss between ECU and hybrid battery module,Trunk System,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
493,P0201,Power windows not responding,Lane keeping assist camera misaligned,Body Control Module,Replace wiper fuse,Résolu
494,P0880,Trunk not opening,Ignition coil failure in cylinder 1,Cooling System,Replace wiper fuse,Non résolu
495,P0340,Sunroof stuck open,Faulty inverter cooling pump causing insufficient coolant circulation,Driver Assistance Systems,Replace turbocharger,Non résolu
496,P0910,Navigation system not working,GPS antenna faulty,Body Control Module,Replace catalytic converter,En traitement
497,P0960,Battery overheats after 20 min of driving,"Thermostat stuck open, engine running cold",Camera Systems,Replace door latch sensor,Résolu
498,P0650,Rearview camera blurry,Blind spot sensor obstructed,Lighting System,Replace connecting rod bearings,Résolu
499,P0920,Loud clicking noise during hybrid mode switch,Faulty horn relay,ECU,Update ECU software and reset hybrid system,Non résolu
500,P1200,Excessive exhaust smoke,Faulty horn relay,Inverter,Replace inverter cooling pump and refill coolant,Résolu
501,P1600,Power windows not responding,Communication loss between ECU and hybrid battery module,Sunroof System,Recalibrate lane keeping assist camera,Non résolu
502,P0860,"Check engine light on, no noticeable symptoms",Transmission clutch friction element stuck causing shifting issues,MG1,Clean battery terminals,Non résolu
503,P0750,Reduced power and acceleration,Connecting rod bearing wear,Exhaust System,Replace thermostat,En traitement
504,P0990,Sunroof stuck open,Ignition coil failure in cylinder 1,Trunk System,Recalibrate lane keeping assist camera,Résolu
505,P0890,"Check engine light on, no noticeable symptoms",Catalytic converter efficiency below threshold,MG1,Replace turbocharger,Non résolu
506,P0980,Horn not functioning,Blind spot sensor obstructed,Camera Systems,Update ECU software and reset hybrid system,Non résolu
507,P0446,Hybrid system malfunction,Ignition coil failure in cylinder 1,Cooling System,Replace wiper fuse,Résolu
508,P0340,Rearview camera blurry,Battery internal resistance too high causing voltage imbalance,Hybrid Battery,Replace sunroof motor,Résolu
509,P0420,Horn not functioning,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Sunroof System,Replace ignition coil in cylinder 1,Non résolu
510,P0601,Excessive exhaust smoke,"Oxygen sensor malfunction, leading to incorrect fuel mixture",ECU,Clean radar sensor,Résolu
511,P0335,Brake system warning light,Catalytic converter efficiency below threshold,AC System,Replace heated seat element,Non résolu
512,P0980,Vehicle pulls to one side,Catalytic converter efficiency below threshold,MG2,Replace GPS antenna,Résolu
513,P0A93,Lane departure warning system fault,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Lighting System,Replace clutch friction element and recalibrate transmission,Résolu
514,P0705,Headlights flickering,Connecting rod bearing wear,Steering,Replace ignition coil in cylinder 1,Résolu
515,P0940,Heated seats not working,Wheel bearing worn out,ECU,Replace clutch friction element and recalibrate transmission,En traitement
516,P0950,Power windows not responding,Turbocharger seal failure,Wiper System,Clean radar sensor,En traitement
517,P0805,Headlights flickering,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",MG2,Replace clutch friction element and recalibrate transmission,En traitement
518,P0700,Horn not functioning,Sunroof motor failure,Inverter,Replace spark plugs and clean fuel injectors,Non résolu
519,P0910,Rearview camera blurry,Wheel bearing worn out,AC System,Replace power window motor,Résolu
520,P0500,"Check engine light on, no noticeable symptoms","Thermostat stuck open, engine running cold",Inverter,Clean parking sensor,Résolu
521,P1300,Vehicle pulls to one side,Blind spot sensor obstructed,Sunroof System,Replace GPS antenna,Résolu
522,P0500,Engine knocking sound,Motor for power window faulty,Sunroof System,Replace horn relay,Résolu
523,P1803-00,Adaptive cruise control unavailable,Door latch sensor faulty,Tires,Update ECU software and reset hybrid system,Résolu
524,P03AF,Steering wheel vibration at high speed,Lane keeping assist camera misaligned,Camera Systems,Replace spark plugs and clean fuel injectors,En traitement
525,P0101,Door ajar warning light on constantly,Alignment issues,Inverter,Clean blind spot sensor,Non résolu
526,P0500,Lane departure warning system fault,Radar sensor blocked,MG2,Clean battery terminals,Non résolu
527,P0650,Steering wheel vibration at high speed,Actuator for trunk release faulty,Lighting System,Clean blind spot sensor,Résolu
528,P0A80,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Ignition coil failure in cylinder 1,Tires,Replace wheel bearing,Non résolu
529,P0440,AC not blowing cold air,Connecting rod bearing wear,Engine,Replace clutch friction element and recalibrate transmission,Non résolu
530,P0172,Wipers not working,Loose battery terminal connection,Trunk System,Replace oxygen sensor and clear fault codes,Résolu
531,P0880,Adaptive cruise control unavailable,Radar sensor blocked,Safety Systems,Replace GPS antenna,Résolu
532,P0A80,Wipers not working,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Transmission,Replace catalytic converter,Résolu
533,P0810,Loud clicking noise during hybrid mode switch,Actuator for trunk release faulty,MG1,Adjust tire pressure,Non résolu
534,P0401,Trunk not opening,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",MG2,Perform wheel alignment,Résolu
535,P03AF,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Door latch sensor faulty,Lighting System,Replace horn relay,Résolu
536,P1400,Power windows not responding,Motor for power window faulty,Horn System,"Locate and repair refrigerant leak, then recharge AC system",En traitement
537,P0440,Fuel gauge inaccurate,Improper tire inflation,Lighting System,Adjust tire pressure,Résolu
538,P0620,Heated seats not working,Battery internal resistance too high causing voltage imbalance,Engine,"Locate and repair refrigerant leak, then recharge AC system",Résolu
539,P0A80,Vehicle pulls to one side,Improper tire inflation,MG2,Replace power window motor,En traitement
540,P0870,Parking assist system error,Faulty horn relay,Navigation System,Replace ignition coil in cylinder 1,Non résolu
541,P0560,Trunk not opening,Parking sensor dirty,Exhaust System,Replace catalytic converter,En traitement
542,P0910,Brake system warning light,Motor for power window faulty,MG2,Adjust tire pressure,Non résolu
543,P07A3,"Check engine light on, no noticeable symptoms",Battery internal resistance too high causing voltage imbalance,Wiper System,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
544,P0500,Rearview camera blurry,Faulty horn relay,Suspension,Replace heated seat element,Résolu
545,P0101,"Check engine light on, no noticeable symptoms",Actuator for trunk release faulty,Body Control Module,Clean rearview camera lens,Résolu
546,P0705,Unusual tire wear,Refrigerant leak in AC system,Transmission,Replace clutch friction element and recalibrate transmission,En traitement
547,P0455,Vehicle pulls to one side,Clogged fuel injector and worn spark plugs,Brakes,Replace power window motor,En traitement
548,P1700,Steering wheel vibration at high speed,"Thermostat stuck open, engine running cold",Electrical System,Replace power window motor,Résolu
549,P0930,Hybrid system malfunction,Blind spot sensor obstructed,Cooling System,Clean blind spot sensor,Résolu
550,P0401,Blind spot monitor warning,Blown fuse in wiper circuit,Wiper System,Perform wheel alignment,En traitement
551,P0201,Fuel gauge inaccurate,Radar sensor blocked,MG2,Replace heated seat element,Résolu
552,P0890,Headlights flickering,GPS antenna faulty,Transmission,Clean rearview camera lens,Non résolu
553,P0790,Fuel gauge inaccurate,Clogged fuel injector and worn spark plugs,Hybrid Battery,Replace ignition coil in cylinder 1,Résolu
554,P0720,Power windows not responding,GPS antenna faulty,AC System,Recalibrate lane keeping assist camera,Non résolu
555,P03AF,Heated seats not working,Faulty inverter cooling pump causing insufficient coolant circulation,Driver Assistance Systems,Replace inverter cooling pump and refill coolant,En traitement
556,P1400,Adaptive cruise control unavailable,Parking sensor dirty,Lighting System,Replace horn relay,En traitement
557,P0730,Steering wheel vibration at high speed,Actuator for trunk release faulty,MG2,Recalibrate lane keeping assist camera,En traitement
558,P0455,Lane departure warning system fault,GPS antenna faulty,Brakes,Replace thermostat,Non résolu
559,P0970,Door ajar warning light on constantly,Battery internal resistance too high causing voltage imbalance,MG2,Clean blind spot sensor,En traitement
560,P0950,Horn not functioning,Catalytic converter efficiency below threshold,Inverter,Replace horn relay,Non résolu
561,P0560,Steering wheel vibration at high speed,Ignition coil failure in cylinder 1,Engine,Replace catalytic converter,Résolu
562,P0960,Parking assist system error,Heater element failure in seat,Hybrid Battery,Clean parking sensor,En traitement
563,P1600,Vehicle pulls to one side,Radar sensor blocked,ECU,Replace heated seat element,Non résolu
564,P0890,Lane departure warning system fault,Parking sensor dirty,Suspension,Update ECU software and reset hybrid system,Non résolu
565,P0650,Navigation system not working,Faulty horn relay,Lighting System,Replace inverter cooling pump and refill coolant,En traitement
566,P0122,Lane departure warning system fault,Sunroof motor failure,Interior Electronics,Replace door latch sensor,Résolu
567,P0201,Hybrid system malfunction,Door latch sensor faulty,Transmission,Clean rearview camera lens,Non résolu
568,P0705,Loud clicking noise during hybrid mode switch,Radar sensor blocked,Tires,Adjust tire pressure,Non résolu
569,P0401,Hybrid system malfunction,"Thermostat stuck open, engine running cold",Engine,"Locate and repair refrigerant leak, then recharge AC system",En traitement
570,P0850,Heated seats not working,Door latch sensor faulty,Body Control Module,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
571,P0172,Fuel gauge inaccurate,"Thermostat stuck open, engine running cold",MG2,Clean parking sensor,Non résolu
572,P0900,Heated seats not working,Alignment issues,Steering,Replace inverter cooling pump and refill coolant,Non résolu
573,P1300,Door ajar warning light on constantly,Heater element failure in seat,Engine,Replace thermostat,En traitement
574,P0500,Horn not functioning,Faulty horn relay,Interior Electronics,Replace catalytic converter,Résolu
575,P0446,Excessive exhaust smoke,Lane keeping assist camera misaligned,Lighting System,Replace thermostat,Résolu
576,P0900,Lane departure warning system fault,Improper tire inflation,MG1,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
577,P0113,Wipers not working,Alignment issues,Electrical System,Recalibrate lane keeping assist camera,Résolu
578,P0301,Door ajar warning light on constantly,Parking sensor dirty,Tires,Clean rearview camera lens,En traitement
579,P0750,Blind spot monitor warning,Motor for power window faulty,Cooling System,Replace GPS antenna,Non résolu
580,P0740,"Check engine light on, no noticeable symptoms",Actuator for trunk release faulty,Sunroof System,Recalibrate lane keeping assist camera,Résolu
581,P1300,Heated seats not working,Transmission clutch friction element stuck causing shifting issues,Trunk System,Replace inverter cooling pump and refill coolant,Résolu
582,P0790,Horn not functioning,Door latch sensor faulty,ECU,Recalibrate lane keeping assist camera,Résolu
583,P0920,Loud clicking noise during hybrid mode switch,Refrigerant leak in AC system,Trunk System,Adjust tire pressure,En traitement
584,P0960,Loud clicking noise during hybrid mode switch,Actuator for trunk release faulty,Brakes,Replace wheel bearing,Non résolu
585,P0113,AC not blowing cold air,Blind spot sensor obstructed,Lighting System,Recalibrate lane keeping assist camera,Résolu
586,P0940,Excessive exhaust smoke,Door latch sensor faulty,Interior Electronics,Perform wheel alignment,En traitement
587,P0401,AC not blowing cold air,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Camera Systems,Replace wheel bearing,Non résolu
588,P0820,Parking assist system error,Faulty inverter cooling pump causing insufficient coolant circulation,Tires,Replace door latch sensor,Résolu
589,P0440,Heated seats not working,Alignment issues,MG1,Replace connecting rod bearings,Non résolu
590,P0930,Sunroof stuck open,Alignment issues,Horn System,Replace oxygen sensor and clear fault codes,Non résolu
591,P0740,Adaptive cruise control unavailable,Faulty horn relay,Exhaust System,Replace power window motor,Résolu
592,P1000,Sunroof stuck open,Parking sensor dirty,MG1,Replace turbocharger,Résolu
593,P0A93,Heated seats not working,Refrigerant leak in AC system,Trunk System,Perform wheel alignment,En traitement
594,P0810,"Check engine light on, no noticeable symptoms","Oxygen sensor malfunction, leading to incorrect fuel mixture",Hybrid Battery,Replace faulty battery modules and rebalance the hybrid battery pack,En traitement
595,P0840,Wipers not working,Communication loss between ECU and hybrid battery module,Camera Systems,Replace GPS antenna,Résolu
596,P0920,Adaptive cruise control unavailable,Parking sensor dirty,Steering,Replace wheel bearing,Non résolu
597,P0805,Blind spot monitor warning,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Horn System,Update ECU software and reset hybrid system,Non résolu
598,P0840,Steering wheel vibration at high speed,Wheel bearing worn out,Trunk System,Replace trunk release actuator,En traitement
599,P1100,Headlights flickering,Faulty horn relay,Safety Systems,Replace GPS antenna,Résolu
600,P07A3,Engine knocking sound,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Safety Systems,Replace power window motor,Résolu
601,P0101,Battery overheats after 20 min of driving,Loose battery terminal connection,MG1,Replace clutch friction element and recalibrate transmission,Résolu
602,P0606,Horn not functioning,Refrigerant leak in AC system,ECU,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
603,P0705,Navigation system not working,Refrigerant leak in AC system,AC System,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
604,P0760,"Vehicle not ready, hybrid system warning",Faulty horn relay,Driver Assistance Systems,Clean battery terminals,Non résolu
605,P0715,Reduced power and acceleration,GPS antenna faulty,Hybrid Battery,Replace GPS antenna,En traitement
606,P0840,Wipers not working,Motor for power window faulty,Driver Assistance Systems,Replace turbocharger,En traitement
607,P0500,Unusual tire wear,Turbocharger seal failure,Camera Systems,Clean rearview camera lens,Non résolu
608,P0770,Lane departure warning system fault,Refrigerant leak in AC system,Electrical System,Clean blind spot sensor,Non résolu
609,P1300,Sunroof stuck open,Rearview camera lens dirty,Interior Electronics,Clean radar sensor,En traitement
610,P0805,Hybrid system malfunction,Sunroof motor failure,Hybrid Battery,Replace inverter cooling pump and refill coolant,Non résolu
611,P1200,Heated seats not working,Ignition coil failure in cylinder 1,Horn System,Replace ignition coil in cylinder 1,En traitement
612,P0930,"Check engine light on, no noticeable symptoms",Blown fuse in wiper circuit,MG2,Replace oxygen sensor and clear fault codes,En traitement
613,P0101,Navigation system not working,Alignment issues,Inverter,Clean rearview camera lens,Non résolu
614,P1500,"Check engine light on, no noticeable symptoms",Clogged fuel injector and worn spark plugs,Tires,Replace horn relay,Résolu
615,P0101,Excessive exhaust smoke,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Steering,Clean blind spot sensor,Non résolu
616,P0401,Steering wheel vibration at high speed,Parking sensor dirty,Brakes,Replace spark plugs and clean fuel injectors,En traitement
617,P0172,Engine knocking sound,Faulty horn relay,MG2,Perform wheel alignment,Non résolu
618,P0860,Brake system warning light,Refrigerant leak in AC system,Body Control Module,Recalibrate lane keeping assist camera,Non résolu
619,P1000,Lane departure warning system fault,Rearview camera lens dirty,Horn System,Adjust tire pressure,Non résolu
620,P07A3,Rearview camera blurry,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Lighting System,Increase MG1 nut torque spec from 353Nm to 398Nm,Non résolu
621,P0740,Unusual tire wear,Loose battery terminal connection,Suspension,Replace spark plugs and clean fuel injectors,Résolu
622,P0A93,Wipers not working,Actuator for trunk release faulty,Transmission,Clean blind spot sensor,Résolu
623,P0900,Rearview camera blurry,Faulty inverter cooling pump causing insufficient coolant circulation,Safety Systems,Replace ignition coil in cylinder 1,En traitement
624,P0850,"Engine misfire, rough idle",Rearview camera lens dirty,Engine,Adjust tire pressure,Résolu
625,P03AF,Navigation system not working,Heater element failure in seat,ECU,Replace heated seat element,Non résolu
626,P0980,Battery overheats after 20 min of driving,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Steering,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
627,P0335,Door ajar warning light on constantly,Lane keeping assist camera misaligned,Wiper System,Adjust tire pressure,En traitement
628,P07AD,Steering wheel vibration at high speed,Catalytic converter efficiency below threshold,MG2,Update ECU software and reset hybrid system,Non résolu
629,P0760,Steering wheel vibration at high speed,Improper tire inflation,Brakes,Replace GPS antenna,Non résolu
630,P0840,Lane departure warning system fault,Rearview camera lens dirty,Hybrid Battery,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
631,P0133,Fuel gauge inaccurate,Sunroof motor failure,Body Control Module,Replace spark plugs and clean fuel injectors,En traitement
632,P0340,Rearview camera blurry,Catalytic converter efficiency below threshold,Transmission,Clean parking sensor,En traitement
633,P0860,Horn not functioning,Alignment issues,Steering,Replace clutch friction element and recalibrate transmission,Non résolu
634,P0A80,Engine knocking sound,GPS antenna faulty,Inverter,Increase MG1 nut torque spec from 353Nm to 398Nm,En traitement
635,P0870,Hybrid system malfunction,Ignition coil failure in cylinder 1,Sunroof System,Clean radar sensor,Résolu
636,P03AF,Brake system warning light,Parking sensor dirty,Inverter,Replace wiper fuse,Résolu
637,P0700,Lane departure warning system fault,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",MG1,Replace clutch friction element and recalibrate transmission,Résolu
638,P0455,Loud clicking noise during hybrid mode switch,Heater element failure in seat,Horn System,Replace thermostat,Résolu
639,P0910,Door ajar warning light on constantly,Battery internal resistance too high causing voltage imbalance,MG2,Replace wheel bearing,En traitement
640,P0715,Hybrid system malfunction,Blown fuse in wiper circuit,Horn System,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
641,P07A3,Power windows not responding,Catalytic converter efficiency below threshold,Trunk System,Replace oxygen sensor and clear fault codes,Non résolu
642,P0325,Unusual tire wear,Ignition coil failure in cylinder 1,Engine,Replace wheel bearing,Résolu
643,P0113,Lane departure warning system fault,Heater element failure in seat,Wiper System,Replace catalytic converter,Résolu
644,P0760,Parking assist system error,Blind spot sensor obstructed,Suspension,Replace clutch friction element and recalibrate transmission,Non résolu
645,P0335,Blind spot monitor warning,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Engine,Replace heated seat element,Non résolu
646,P0970,Excessive exhaust smoke,Catalytic converter efficiency below threshold,Navigation System,Recalibrate lane keeping assist camera,Résolu
647,P0325,Brake system warning light,"Thermostat stuck open, engine running cold",Transmission,Replace catalytic converter,Non résolu
648,P0401,Horn not functioning,Blown fuse in wiper circuit,MG2,"Locate and repair refrigerant leak, then recharge AC system",Non résolu
649,P0601,Adaptive cruise control unavailable,Loose battery terminal connection,MG1,Clean radar sensor,Non résolu
650,P0133,"Check engine light on, no noticeable symptoms","Thermostat stuck open, engine running cold",AC System,Replace sunroof motor,En traitement
651,P0505,Parking assist system error,Sunroof motor failure,Driver Assistance Systems,Replace wiper fuse,Non résolu
652,P0790,Lane departure warning system fault,Door latch sensor faulty,Suspension,"Locate and repair refrigerant leak, then recharge AC system",En traitement
653,P0700,Sunroof stuck open,Communication loss between ECU and hybrid battery module,Horn System,Replace connecting rod bearings,En traitement
654,P03AF,Loud clicking noise during hybrid mode switch,Blown fuse in wiper circuit,MG2,Replace thermostat,Résolu
655,P1300,Horn not functioning,Sunroof motor failure,Inverter,Replace faulty battery modules and rebalance the hybrid battery pack,Résolu
656,P0122,Power windows not responding,Blown fuse in wiper circuit,Sunroof System,Clean parking sensor,En traitement
657,P0900,Battery overheats after 20 min of driving,Wheel bearing worn out,Tires,Clean battery terminals,Résolu
658,P0810,Blind spot monitor warning,Blown fuse in wiper circuit,Interior Electronics,Replace turbocharger,Non résolu
659,P0930,Power windows not responding,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Camera Systems,Replace door latch sensor,Résolu
660,P0335,AC not blowing cold air,Clogged fuel injector and worn spark plugs,Brakes,Replace thermostat,En traitement
661,P0705,Loud clicking noise during hybrid mode switch,Connecting rod bearing wear,Body Control Module,Clean blind spot sensor,Résolu
662,P0980,"Check engine light on, no noticeable symptoms",Faulty inverter cooling pump causing insufficient coolant circulation,Safety Systems,Replace door latch sensor,En traitement
663,P0860,Battery overheats after 20 min of driving,Wheel bearing worn out,Lighting System,Replace ignition coil in cylinder 1,En traitement
664,P0950,"Engine misfire, rough idle",Lane keeping assist camera misaligned,Camera Systems,Replace spark plugs and clean fuel injectors,Non résolu
665,P1000,Battery overheats after 20 min of driving,Parking sensor dirty,Sunroof System,Update ECU software and reset hybrid system,Résolu
666,P1600,"Vehicle not ready, hybrid system warning",Sunroof motor failure,Sunroof System,Recalibrate lane keeping assist camera,En traitement
667,P0940,Unusual tire wear,Lane keeping assist camera misaligned,Camera Systems,Replace heated seat element,En traitement
668,P0910,Loud clicking noise during hybrid mode switch,Heater element failure in seat,MG2,Adjust tire pressure,Résolu
669,P1803-00,Excessive exhaust smoke,Sunroof motor failure,Safety Systems,Replace trunk release actuator,En traitement
670,P0810,Blind spot monitor warning,Connecting rod bearing wear,Exhaust System,Replace GPS antenna,En traitement
671,P0340,Hybrid system malfunction,Loose battery terminal connection,Brakes,Replace catalytic converter,Résolu
672,P0940,Hybrid system malfunction,GPS antenna faulty,AC System,Replace spark plugs and clean fuel injectors,En traitement
673,P0930,Excessive exhaust smoke,Actuator for trunk release faulty,Safety Systems,Update ECU software and reset hybrid system,Non résolu
674,P03AF,Blind spot monitor warning,Blown fuse in wiper circuit,Tires,Clean parking sensor,Résolu
675,P0840,Blind spot monitor warning,Heater element failure in seat,Hybrid Battery,Update ECU software and reset hybrid system,Non résolu
676,P0335,Parking assist system error,Lane keeping assist camera misaligned,Suspension,Replace spark plugs and clean fuel injectors,En traitement
677,P0505,Navigation system not working,Heater element failure in seat,Engine,Replace thermostat,En traitement
678,P0113,Loud clicking noise during hybrid mode switch,Rearview camera lens dirty,MG1,Recalibrate lane keeping assist camera,Non résolu
679,P0133,Unusual tire wear,Ignition coil failure in cylinder 1,MG2,Replace ignition coil in cylinder 1,Non résolu
680,P0730,Navigation system not working,Parking sensor dirty,Steering,Replace ignition coil in cylinder 1,En traitement
681,P0135,Reduced power and acceleration,Ignition coil failure in cylinder 1,Transmission,Replace spark plugs and clean fuel injectors,Résolu
682,P0950,AC not blowing cold air,Ignition coil failure in cylinder 1,Camera Systems,Clean blind spot sensor,En traitement
683,P0860,"Engine misfire, rough idle",Communication loss between ECU and hybrid battery module,Electrical System,Replace wheel bearing,En traitement
684,P0940,Wipers not working,GPS antenna faulty,MG1,Perform wheel alignment,En traitement
685,P0101,"Vehicle not ready, hybrid system warning",Radar sensor blocked,Lighting System,"Locate and repair refrigerant leak, then recharge AC system",Résolu
686,P0820,Horn not functioning,Refrigerant leak in AC system,Exhaust System,Replace clutch friction element and recalibrate transmission,Résolu
687,P0560,Heated seats not working,Connecting rod bearing wear,Navigation System,Clean radar sensor,Non résolu
688,P0715,Rearview camera blurry,Faulty inverter cooling pump causing insufficient coolant circulation,MG1,Replace spark plugs and clean fuel injectors,Non résolu
689,P0850,AC not blowing cold air,Faulty inverter cooling pump causing insufficient coolant circulation,Horn System,Update ECU software and reset hybrid system,Résolu
690,P0740,Wipers not working,Transmission clutch friction element stuck causing shifting issues,Engine,Replace turbocharger,Résolu
691,P0201,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Wheel bearing worn out,Horn System,Replace oxygen sensor and clear fault codes,Résolu
692,P0770,Excessive exhaust smoke,Door latch sensor faulty,Navigation System,Replace door latch sensor,Résolu
693,P0805,Loud clicking noise during hybrid mode switch,Transmission clutch friction element stuck causing shifting issues,Safety Systems,Replace clutch friction element and recalibrate transmission,Résolu
694,P0990,"Check engine light on, no noticeable symptoms","Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",Brakes,Clean parking sensor,Non résolu
695,P0720,Steering wheel vibration at high speed,Parking sensor dirty,Interior Electronics,Adjust tire pressure,Résolu
696,P0455,Unusual tire wear,Alignment issues,Cooling System,Clean blind spot sensor,En traitement
697,P0401,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Wheel bearing worn out,Engine,Replace faulty battery modules and rebalance the hybrid battery pack,Non résolu
698,P0700,Reduced power and acceleration,Sunroof motor failure,MG1,Increase MG1 nut torque spec from 353Nm to 398Nm,Résolu
699,P0335,Blind spot monitor warning,Clogged fuel injector and worn spark plugs,Body Control Module,Clean radar sensor,En traitement
700,P0705,Hybrid system malfunction,Sunroof motor failure,Lighting System,Replace inverter cooling pump and refill coolant,Non résolu
701,P0133,Parking assist system error,Loose battery terminal connection,Electrical System,Replace GPS antenna,Non résolu
702,P0122,Trunk not opening,Improper tire inflation,Body Control Module,Perform wheel alignment,Non résolu
703,P07AD,Lane departure warning system fault,Ignition coil failure in cylinder 1,Tires,Replace GPS antenna,Résolu
704,P0401,Brake system warning light,Faulty inverter cooling pump causing insufficient coolant circulation,Electrical System,Replace catalytic converter,Résolu
705,P1803-00,"Vehicle not ready, hybrid system warning",Radar sensor blocked,Engine,Replace inverter cooling pump and refill coolant,Résolu
706,P0133,Headlights flickering,Faulty inverter cooling pump causing insufficient coolant circulation,Tires,Replace wheel bearing,En traitement
707,P0760,Steering wheel vibration at high speed,Clogged fuel injector and worn spark plugs,Brakes,"Locate and repair refrigerant leak, then recharge AC system",En traitement
708,P0900,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Sunroof motor failure,Electrical System,Replace GPS antenna,En traitement
709,P0870,Adaptive cruise control unavailable,Faulty horn relay,Hybrid Battery,Replace spark plugs and clean fuel injectors,En traitement
710,P0700,Power windows not responding,Turbocharger seal failure,Cooling System,Clean parking sensor,En traitement
711,P0880,Heated seats not working,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Steering,Replace turbocharger,En traitement
712,P0830,Engine knocking sound,Heater element failure in seat,Wiper System,Replace clutch friction element and recalibrate transmission,En traitement
713,P0980,STOP SAFELY VEHICLE WILL SHUT OFF SOON,Faulty inverter cooling pump causing insufficient coolant circulation,Wiper System,Replace faulty battery modules and rebalance the hybrid battery pack,En traitement
714,P0340,Wipers not working,Door latch sensor faulty,Horn System,Replace thermostat,Non résolu
715,P0606,Power windows not responding,Radar sensor blocked,Navigation System,Replace turbocharger,Non résolu
716,P0940,Headlights flickering,Loose battery terminal connection,Driver Assistance Systems,Replace inverter cooling pump and refill coolant,Non résolu
717,P0335,Unusual tire wear,Faulty horn relay,Trunk System,Clean parking sensor,Non résolu
718,P0910,Loud clicking noise during hybrid mode switch,Clogged fuel injector and worn spark plugs,MG2,Clean radar sensor,Résolu
719,P0A80,Vehicle pulls to one side,Catalytic converter efficiency below threshold,Lighting System,Replace horn relay,En traitement
720,P0840,Headlights flickering,Sunroof motor failure,ECU,Clean rearview camera lens,Non résolu
721,P0830,Steering wheel vibration at high speed,Alignment issues,Suspension,"Locate and repair refrigerant leak, then recharge AC system",Résolu
722,P0940,Heated seats not working,Door latch sensor faulty,Suspension,Replace horn relay,Non résolu
723,P0910,"Engine misfire, rough idle",Actuator for trunk release faulty,Transmission,Replace ignition coil in cylinder 1,Non résolu
724,P0A93,Vehicle pulls to one side,"Low tightening torque of nut MG1 causing rotor slip (coefficient friction too low, SF=0.77)",AC System,Replace oxygen sensor and clear fault codes,En traitement
725,P0172,Fuel gauge inaccurate,Turbocharger seal failure,MG1,Adjust tire pressure,Résolu
726,P0335,"Engine misfire, rough idle",Wheel bearing worn out,Hybrid Battery,Replace sunroof motor,En traitement
727,P0930,Parking assist system error,Communication loss between ECU and hybrid battery module,Brakes,Replace heated seat element,Non résolu
728,P0730,Sunroof stuck open,GPS antenna faulty,Tires,Replace wiper fuse,Non résolu
729,P1300,Vehicle pulls to one side,"Oxygen sensor malfunction, leading to incorrect fuel mixture",Exhaust System,Replace spark plugs and clean fuel injectors,Non résolu
730,P0750,Wipers not working,"Thermostat stuck open, engine running cold",Wiper System,Replace inverter cooling pump and refill coolant,En traitement
731,P07AD,Engine knocking sound,Blown fuse in wiper circuit,Wiper System,Update ECU software and reset hybrid system,En traitement
732,P0455,Heated seats not working,Connecting rod bearing wear,Cooling System,Replace door latch sensor,Résolu
733,P0601,Vehicle pulls to one side,Radar sensor blocked,Cooling System,Increase MG1 nut torque spec from 353Nm to 398Nm,En traitement
734,P0810,Parking assist system error,Door latch sensor faulty,Safety Systems,Replace door latch sensor,En traitement
735,P0325,Fuel gauge inaccurate,Radar sensor blocked,Sunroof System,Replace sunroof motor,Résolu
